TrueMean,Bias,Distance,Bias Strength,Hyperbole,Extermity Bias,Fair & Balanced,Belief Mean,Belief Var,Belief Mean Error,Belief Var Error,Belief Mean MSE,Belief Var MSE,,H X BS,E X BS,FaB X BS
1,0,1,1,2,0,1,-0.66,0.71,-1.66,-0.29,2.76,0.08,,1.8,0.9,1.8
1,0,1,1,2,1,0,-2.08,0.66,-3.08,-0.34,9.47,0.12,,1.8,1.8,0.9
1,0,1,1,2,1,1,-2.06,0.64,-3.06,-0.36,9.35,0.13,,1.8,1.8,1.8
1,1,0,0.1,1,0,0,1.00,0.96,0.00,-0.04,0.00,0.00,,0,0,0
1,1,0,0.1,1,0,1,0.35,1.09,-0.65,0.09,0.42,0.01,,0,0,0
1,1,0,0.1,1,1,0,1.64,0.83,0.64,-0.17,0.41,0.03,,0,0,0
1,1,0,0.1,1,1,1,0.19,1.60,-0.81,0.60,0.66,0.36,,0,0,0
1,1,0,0.1,2,0,0,1.90,3.24,0.90,2.24,0.81,5.03,,0,0,0
1,1,0,0.1,2,0,1,0.52,3.38,-0.48,2.38,0.23,5.67,,0,0,0
1,1,0,0.1,2,1,0,2.44,3.41,1.44,2.41,2.08,5.81,,0,0,0
1,1,0,0.1,2,1,1,0.34,3.82,-0.66,2.82,0.43,7.96,,0,0,0
1,1,0,1,1,0,0,1.00,0.60,0.00,-0.40,0.00,0.16,,0.9,0.9,0.9
1,1,0,1,1,0,1,0.22,0.66,-0.78,-0.34,0.61,0.11,,0.9,0.9,1.8
1,1,0,1,1,1,0,1.65,0.44,0.65,-0.56,0.42,0.31,,0.9,1.8,0.9
1,1,0,1,1,1,1,1.62,0.49,0.62,-0.51,0.39,0.26,,0.9,1.8,1.8
1,1,0,1,2,0,0,1.08,0.79,0.08,-0.21,0.01,0.04,,1.8,0.9,0.9
1,1,0,1,2,0,1,1.87,0.82,0.87,-0.18,0.75,0.03,,1.8,0.9,1.8
1,1,0,1,2,1,0,2.33,0.70,1.33,-0.30,1.76,0.09,,1.8,1.8,0.9
1,1,0,1,2,1,1,2.45,0.73,1.45,-0.27,2.10,0.07,,1.8,1.8,1.8
