"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
0,1,1,2,1,0,2.072,0.538,2.072,-0.462,4.294,0.213
0,1,1,2,1,1,1.704,0.574,1.704,-0.426,2.904,0.181
1,-1,0.1,1,0,0,1.064,1.02,0.064,0.02,0.004,0
1,-1,0.1,1,0,1,0.289,1.11,-0.711,0.11,0.505,0.012
1,-1,0.1,1,1,0,1.553,0.969,0.553,-0.031,0.306,0.001
1,-1,0.1,1,1,1,0.004,1.459,-0.996,0.459,0.992,0.211
1,-1,0.1,2,0,0,2.248,2.043,1.248,1.043,1.558,1.088
1,-1,0.1,2,0,1,0.612,2.215,-0.388,1.215,0.15,1.477
1,-1,0.1,2,1,0,2.576,1.629,1.576,0.629,2.485,0.396
1,-1,0.1,2,1,1,-0.121,2.225,-1.121,1.225,1.257,1.5
1,-1,1,1,0,0,0.889,0.573,-0.111,-0.427,0.012,0.182
1,-1,1,1,0,1,0.041,0.562,-0.959,-0.438,0.919,0.191
1,-1,1,1,1,0,1.524,0.772,0.524,-0.228,0.274,0.052
1,-1,1,1,1,1,-1.243,0.376,-2.243,-0.624,5.03,0.39
1,-1,1,2,0,0,1.296,0.727,0.296,-0.273,0.088,0.075
1,-1,1,2,0,1,-0.777,0.474,-1.777,-0.526,3.159,0.277
1,-1,1,2,1,0,-1.703,0.486,-2.703,-0.514,7.306,0.264
1,-1,1,2,1,1,-1.453,0.364,-2.453,-0.636,6.017,0.404
1,0,0.1,1,0,0,0.85,0.88,-0.15,-0.12,0.022,0.014
1,0,0.1,1,0,1,0.334,1.101,-0.666,0.101,0.444,0.01
1,0,0.1,1,1,0,1.681,0.931,0.681,-0.069,0.463,0.005
1,0,0.1,1,1,1,0.068,1.387,-0.932,0.387,0.869,0.15
1,0,0.1,2,0,0,1.735,2.01,0.735,1.01,0.54,1.021
1,0,0.1,2,0,1,0.45,1.728,-0.55,0.728,0.303,0.531
1,0,0.1,2,1,0,2.629,1.788,1.629,0.788,2.655,0.621
1,0,0.1,2,1,1,0.86,2.577,-0.14,1.577,0.02,2.488
1,0,1,1,0,0,0.999,0.482,-0.001,-0.518,0,0.269
1,0,1,1,0,1,0.016,0.492,-0.984,-0.508,0.967,0.258
1,0,1,1,1,0,1.674,0.466,0.674,-0.534,0.455,0.285
1,0,1,1,1,1,-1.2,0.428,-2.2,-0.572,4.84,0.327
1,0,1,2,0,0,0.801,0.649,-0.199,-0.351,0.039,0.124
1,0,1,2,0,1,-0.503,0.512,-1.503,-0.488,2.258,0.239
1,0,1,2,1,0,1.967,0.563,0.967,-0.437,0.935,0.191
1,0,1,2,1,1,-1.654,0.519,-2.654,-0.481,7.045,0.231
1,1,0.1,1,0,0,1.163,0.984,0.163,-0.016,0.027,0
1,1,0.1,1,0,1,0.324,0.945,-0.676,-0.055,0.457,0.003
1,1,0.1,1,1,0,1.675,0.754,0.675,-0.246,0.455,0.061
1,1,0.1,1,1,1,0.009,1.486,-0.991,0.486,0.982,0.236
1,1,0.1,2,0,0,1.947,1.921,0.947,0.921,0.897,0.849
1,1,0.1,2,0,1,0.656,2.27,-0.344,1.27,0.119,1.614
1,1,0.1,2,1,0,2.611,2.152,1.611,1.152,2.595,1.327
1,1,0.1,2,1,1,0.618,2.434,-0.382,1.434,0.146,2.057
1,1,1,1,0,0,0.891,0.525,-0.109,-0.475,0.012,0.226
1,1,1,1,0,1,0.104,0.714,-0.896,-0.286,0.802,0.082
1,1,1,1,1,0,1.551,0.413,0.551,-0.587,0.304,0.345
1,1,1,1,1,1,-1.272,0.447,-2.272,-0.553,5.161,0.306
1,1,1,2,0,0,2.138,0.804,1.138,-0.196,1.295,0.039
1,1,1,2,0,1,-0.389,0.769,-1.389,-0.231,1.929,0.053
1,1,1,2,1,0,2.216,0.579,1.216,-0.421,1.478,0.178
1,1,1,2,1,1,2.067,0.508,1.067,-0.492,1.139,0.242
